Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
A1,13,2,3750,6,6,6701,3.2,9.8,0.72,2.9,2999
A2,8,12,3300,6,6.3,6806,4.3,12.7,0.82,3.7,6988
A3,7,12,2675,3,5.5,10304,3.4,7.8,0.86,3,6688
A4,8,12,3350,4,5.2,6805,3.6,7.3,0.65,3,2099
A5,7,12,2700,3,5.8,10304,4.1,7.8,0.86,3.2,8388
A6,5,12,3400,6,6,6806,3.4,7.3,0.65,2.9,2999
A7,16,20,3300,6,6,6805,3.1,2,0.89,2.5,2999
A8,20,20,3205,4,6,5888,4.6,13.3,0.83,4.2,2999
A9,8,20,4000,6,6,6701,4.1,12.3,0.74,3.5,4899
A10,8,12,3000,4,5.6,6806,3.4,12.7,0.74,2.6,4999
A11,5,12,3080,4,5.5,6805,3.7,7.3,0.65,2.6,1399
A12,16,12,3500,6,5.5,5888,3.5,7.3,0.65,2.9,2299
A13,5,16,3000,6,5.2,4212,3.7,1.8,0.66,3,2199
A14,8,16,4050,6,6,5888,3.4,1.4,0.68,2.8,1899
A15,12,12,3245,4,6,5888,3.5,17.4,0.88,2.7,2798
A16,16,13,3500,4,5.5,3953,3.4,1.1,0.83,3,1299
A17,16,12,4000,4,5.5,4298,3,4.5,0.7,2.5,1499
A18,8,12,3020,4,5.5,4212,3.3,0.2,0.69,2.6,1499
A19,16,13,2950,6,5.2,4829,3,1.2,0.66,2.4,1299
A20,20,16,3320,4,5.5,3290,3.6,17.4,0.88,2.5,1998
A21,13,16,3340,4,5.9,3494,4.3,12.3,0.74,3.3,2199
A22,12,21,3580,4,5.2,4463,4.5,0.4,0.76,4,3999
A23,8,20,4000,4,5.5,6591,3.9,12.3,0.74,3.4,3299
A24,5,12,5300,4,6.4,4298,3.7,7.3,0.65,2.5,1499
A25,20,20,3340,6,6,6021,4.2,12.3,0.74,3.9,2799
Type,1,1,1,1,1,1,1,1,1,1,-1
Weight,0.023,0.08,0.0292,0.0444,0.0456,0.2212,0.0761,0.1509,0.0599,0.059,0.2109
